;Fecha;0;1;2;3;4
4;2018-04-16 12:45:00;22.0;22.0;22.0;22.0;21.9339207048
5;2018-04-16 13:00:00;22.0;22.0;22.0;21.9339207048;22.0
6;2018-04-16 13:15:00;22.0;22.0;21.9339207048;22.0;22.0
7;2018-04-16 13:30:00;22.0;21.9339207048;22.0;22.0;22.0
8;2018-04-16 13:45:00;21.9339207048;22.0;22.0;22.0;22.2682119205
9;2018-04-16 15:00:00;22.0;22.0;22.0;22.2682119205;24.9128440367
10;2018-04-16 15:15:00;22.0;22.0;22.2682119205;24.9128440367;24.9419354839
11;2018-04-16 15:30:00;22.0;22.2682119205;24.9128440367;24.9419354839;24.7586206897
12;2018-04-16 15:45:00;22.2682119205;24.9128440367;24.9419354839;24.7586206897;24.6797385621
13;2018-04-16 16:00:00;24.9128440367;24.9419354839;24.7586206897;24.6797385621;24.5075268817
14;2018-04-16 16:15:00;24.9419354839;24.7586206897;24.6797385621;24.5075268817;24.4695652174
15;2018-04-16 16:30:00;24.7586206897;24.6797385621;24.5075268817;24.4695652174;24.4403470716
16;2018-04-16 16:45:00;24.6797385621;24.5075268817;24.4695652174;24.4403470716;24.5673913043
17;2018-04-16 17:00:00;24.5075268817;24.4695652174;24.4403470716;24.5673913043;24.4924731183
18;2018-04-16 17:15:00;24.4695652174;24.4403470716;24.5673913043;24.4924731183;24.4446854664
19;2018-04-16 17:30:00;24.4403470716;24.5673913043;24.4924731183;24.4446854664;24.5456521739
20;2018-04-16 17:45:00;24.5673913043;24.4924731183;24.4446854664;24.5456521739;24.5630434783
21;2018-04-16 18:00:00;24.4924731183;24.4446854664;24.5456521739;24.5630434783;24.5376344086
22;2018-04-16 18:15:00;24.4446854664;24.5456521739;24.5630434783;24.5376344086;24.6383442266
23;2018-04-16 18:30:00;24.5456521739;24.5630434783;24.5376344086;24.6383442266;24.3969631236
24;2018-04-16 18:45:00;24.5630434783;24.5376344086;24.6383442266;24.3969631236;24.6347826087
25;2018-04-16 19:00:00;24.5376344086;24.6383442266;24.3969631236;24.6347826087;24.3741935484
26;2018-04-16 19:15:00;24.6383442266;24.3969631236;24.6347826087;24.3741935484;24.8711790393
27;2018-04-16 19:30:00;24.3969631236;24.6347826087;24.3741935484;24.8711790393;24.9519650655
28;2018-04-16 19:45:00;24.6347826087;24.3741935484;24.8711790393;24.9519650655;24.8387799564
29;2018-04-16 20:00:00;24.3741935484;24.8711790393;24.9519650655;24.8387799564;24.5754310345
30;2018-04-16 20:15:00;24.8711790393;24.9519650655;24.8387799564;24.5754310345;24.7559912854
31;2018-04-16 20:30:00;24.9519650655;24.8387799564;24.5754310345;24.7559912854;24.8
32;2018-04-16 20:45:00;24.8387799564;24.5754310345;24.7559912854;24.8;24.767032967
33;2018-04-16 21:00:00;24.5754310345;24.7559912854;24.8;24.767032967;24.6855895197
34;2018-04-16 21:15:00;24.7559912854;24.8;24.767032967;24.6855895197;24.9736263736
35;2018-04-16 21:30:00;24.8;24.767032967;24.6855895197;24.9736263736;24.8083700441
36;2018-04-16 21:45:00;24.767032967;24.6855895197;24.9736263736;24.8083700441;24.5934065934
37;2018-04-16 22:00:00;24.6855895197;24.9736263736;24.8083700441;24.5934065934;24.635371179
38;2018-04-16 22:15:00;24.9736263736;24.8083700441;24.5934065934;24.635371179;24.7252747253
39;2018-04-16 22:30:00;24.8083700441;24.5934065934;24.635371179;24.7252747253;24.8524229075
40;2018-04-16 22:45:00;24.5934065934;24.635371179;24.7252747253;24.8524229075;24.443956044
41;2018-04-16 23:00:00;24.635371179;24.7252747253;24.8524229075;24.443956044;24.6013071895
42;2018-04-16 23:15:00;24.7252747253;24.8524229075;24.443956044;24.6013071895;24.9186813187
43;2018-04-16 23:30:00;24.8524229075;24.443956044;24.6013071895;24.9186813187;24.7114537445
44;2018-04-16 23:45:00;24.443956044;24.6013071895;24.9186813187;24.7114537445;24.798245614
45;2018-04-17 00:00:00;24.6013071895;24.9186813187;24.7114537445;24.798245614;24.7532467532
46;2018-04-17 00:15:00;24.9186813187;24.7114537445;24.798245614;24.7532467532;24.6217391304
47;2018-04-17 00:30:00;24.7114537445;24.798245614;24.7532467532;24.6217391304;24.5294117647
48;2018-04-17 00:45:00;24.798245614;24.7532467532;24.6217391304;24.5294117647;24.5739130435
49;2018-04-17 01:00:00;24.7532467532;24.6217391304;24.5294117647;24.5739130435;24.3978494624
50;2018-04-17 01:15:00;24.6217391304;24.5294117647;24.5739130435;24.3978494624;24.5860566449
51;2018-04-17 01:30:00;24.5294117647;24.5739130435;24.3978494624;24.5860566449;24.8668122271
52;2018-04-17 01:45:00;24.5739130435;24.3978494624;24.5860566449;24.8668122271;24.9277899344
53;2018-04-17 02:00:00;24.3978494624;24.5860566449;24.8668122271;24.9277899344;24.818574514
54;2018-04-17 02:15:00;24.5860566449;24.8668122271;24.9277899344;24.818574514;24.9978118162
55;2018-04-17 02:30:00;24.8668122271;24.9277899344;24.818574514;24.9978118162;24.9541484716
56;2018-04-17 02:45:00;24.9277899344;24.818574514;24.9978118162;24.9541484716;24.932166302
57;2018-04-17 03:00:00;24.818574514;24.9978118162;24.9541484716;24.932166302;24.987012987
58;2018-04-17 03:15:00;24.9978118162;24.9541484716;24.932166302;24.987012987;24.8515283843
59;2018-04-17 03:30:00;24.9541484716;24.932166302;24.987012987;24.8515283843;24.8905908096
60;2018-04-17 03:45:00;24.932166302;24.987012987;24.8515283843;24.8905908096;24.989059081
61;2018-04-17 04:00:00;24.987012987;24.8515283843;24.8905908096;24.989059081;24.7580993521
