NUM;Fecha;0;1;2;3;4
65;2018-04-18 14:30:00;22.9933993399;22.9879253568;23.0;23.0;23.0
66;2018-04-18 15:00:00;22.9879253568;23.0;23.0;23.0;23.0
67;2018-04-18 15:30:00;23.0;23.0;23.0;23.0;23.0
68;2018-04-18 16:00:00;23.0;23.0;23.0;23.0;23.0
69;2018-04-18 16:30:00;23.0;23.0;23.0;23.0;23.0
70;2018-04-18 17:00:00;23.0;23.0;23.0;23.0;23.0
71;2018-04-18 17:30:00;23.0;23.0;23.0;23.0;23.0
72;2018-04-18 18:00:00;23.0;23.0;23.0;23.0;23.0
73;2018-04-18 18:30:00;23.0;23.0;23.0;23.0;23.0
74;2018-04-18 19:00:00;23.0;23.0;23.0;23.0;23.0
75;2018-04-18 19:30:00;23.0;23.0;23.0;23.0;23.0
76;2018-04-18 20:00:00;23.0;23.0;23.0;23.0;23.0
77;2018-04-18 20:30:00;23.0;23.0;23.0;23.0;23.0
78;2018-04-18 21:00:00;23.0;23.0;23.0;23.0;23.0
79;2018-04-18 21:30:00;23.0;23.0;23.0;23.0;23.0
80;2018-04-18 22:00:00;23.0;23.0;23.0;23.0;23.0
81;2018-04-18 22:30:00;23.0;23.0;23.0;23.0;23.0
82;2018-04-18 23:00:00;23.0;23.0;23.0;23.0;23.0
83;2018-04-18 23:30:00;23.0;23.0;23.0;23.0;23.0
84;2018-04-19 00:00:00;23.0;23.0;23.0;23.0;23.0
85;2018-04-19 00:30:00;23.0;23.0;23.0;23.0;23.0
86;2018-04-19 01:00:00;23.0;23.0;23.0;23.0;23.0
87;2018-04-19 01:30:00;23.0;23.0;23.0;23.0;23.0
88;2018-04-19 02:00:00;23.0;23.0;23.0;23.0;23.0
89;2018-04-19 02:30:00;23.0;23.0;23.0;23.0;23.0
90;2018-04-19 03:00:00;23.0;23.0;23.0;23.0;23.0
91;2018-04-19 03:30:00;23.0;23.0;23.0;23.0;23.0
92;2018-04-19 04:00:00;23.0;23.0;23.0;23.0;23.0
93;2018-04-19 04:30:00;23.0;23.0;23.0;23.0;23.0
94;2018-04-19 05:00:00;23.0;23.0;23.0;23.0;23.0
95;2018-04-19 05:30:00;23.0;23.0;23.0;23.0;23.0
96;2018-04-19 06:00:00;23.0;23.0;23.0;23.0;23.0
97;2018-04-19 06:30:00;23.0;23.0;23.0;23.0;23.0
98;2018-04-19 07:00:00;23.0;23.0;23.0;23.0;23.0
99;2018-04-19 07:30:00;23.0;23.0;23.0;23.0;23.0
100;2018-04-19 08:00:00;23.0;23.0;23.0;23.0;23.0
101;2018-04-19 08:30:00;23.0;23.0;23.0;23.0;23.0
102;2018-04-19 09:00:00;23.0;23.0;23.0;23.0;23.0
103;2018-04-19 09:30:00;23.0;23.0;23.0;23.0;23.0
104;2018-04-19 10:00:00;23.0;23.0;23.0;23.0;23.0
105;2018-04-19 10:30:00;23.0;23.0;23.0;23.0;23.0
106;2018-04-19 11:00:00;23.0;23.0;23.0;23.0;23.0
107;2018-04-19 11:30:00;23.0;23.0;23.0;23.0;23.0
108;2018-04-19 12:00:00;23.0;23.0;23.0;23.0;23.0170940171
109;2018-04-19 12:30:00;23.0;23.0;23.0;23.0170940171;23.0138740662
110;2018-04-19 13:00:00;23.0;23.0;23.0170940171;23.0138740662;23.0
111;2018-04-19 13:30:00;23.0;23.0170940171;23.0138740662;23.0;23.0
112;2018-04-19 14:00:00;23.0170940171;23.0138740662;23.0;23.0;23.0
113;2018-04-19 14:30:00;23.0138740662;23.0;23.0;23.0;23.0
114;2018-04-19 15:00:00;23.0;23.0;23.0;23.0;23.0
115;2018-04-19 15:30:00;23.0;23.0;23.0;23.0;23.0
116;2018-04-19 16:00:00;23.0;23.0;23.0;23.0;23.0
117;2018-04-19 16:30:00;23.0;23.0;23.0;23.0;23.0
118;2018-04-19 17:00:00;23.0;23.0;23.0;23.0;23.0
119;2018-04-19 17:30:00;23.0;23.0;23.0;23.0;23.0
120;2018-04-19 18:00:00;23.0;23.0;23.0;23.0;23.0
121;2018-04-19 18:30:00;23.0;23.0;23.0;23.0;23.0
122;2018-04-19 19:00:00;23.0;23.0;23.0;23.0;23.0
123;2018-04-19 19:30:00;23.0;23.0;23.0;23.0;23.0
124;2018-04-19 20:00:00;23.0;23.0;23.0;23.0;23.0
125;2018-04-19 20:30:00;23.0;23.0;23.0;23.0;23.0
126;2018-04-19 21:00:00;23.0;23.0;23.0;23.0;23.0
127;2018-04-19 21:30:00;23.0;23.0;23.0;23.0;23.0
128;2018-04-19 22:00:00;23.0;23.0;23.0;23.0;23.0
129;2018-04-19 22:30:00;23.0;23.0;23.0;23.0;23.0
130;2018-04-19 23:00:00;23.0;23.0;23.0;23.0;23.0
131;2018-04-19 23:30:00;23.0;23.0;23.0;23.0;23.0
132;2018-04-20 00:00:00;23.0;23.0;23.0;23.0;23.0
133;2018-04-20 00:30:00;23.0;23.0;23.0;23.0;23.0
134;2018-04-20 01:00:00;23.0;23.0;23.0;23.0;23.0
135;2018-04-20 01:30:00;23.0;23.0;23.0;23.0;23.0
136;2018-04-20 02:00:00;23.0;23.0;23.0;23.0;23.0
137;2018-04-20 02:30:00;23.0;23.0;23.0;23.0;23.0
138;2018-04-20 03:00:00;23.0;23.0;23.0;23.0;23.0
139;2018-04-20 03:30:00;23.0;23.0;23.0;23.0;23.0
140;2018-04-20 04:00:00;23.0;23.0;23.0;23.0;23.0
141;2018-04-20 04:30:00;23.0;23.0;23.0;23.0;23.0
142;2018-04-20 05:00:00;23.0;23.0;23.0;23.0;23.0
143;2018-04-20 05:30:00;23.0;23.0;23.0;23.0;23.0
144;2018-04-20 06:00:00;23.0;23.0;23.0;23.0;23.0
145;2018-04-20 06:30:00;23.0;23.0;23.0;23.0;23.0
146;2018-04-20 07:00:00;23.0;23.0;23.0;23.0;23.0
147;2018-04-20 07:30:00;23.0;23.0;23.0;23.0;23.0
148;2018-04-20 08:00:00;23.0;23.0;23.0;23.0;23.010845987
149;2018-04-20 08:30:00;23.0;23.0;23.0;23.010845987;23.0021436227
150;2018-04-20 09:00:00;23.0;23.0;23.010845987;23.0021436227;23.0
151;2018-04-20 09:30:00;23.0;23.010845987;23.0021436227;23.0;23.0
