N;Fecha;0;1;2;3;4
307;30/04/2018 0:00;233.598.081.023;23.522.411.953;23.568.303.095;235.772.921.109;235.861.884.368
308;30/04/2018 1:00;23.522.411.953;23.568.303.095;235.772.921.109;235.861.884.368;235.719.636.169
309;30/04/2018 2:00;23.568.303.095;235.772.921.109;235.861.884.368;235.719.636.169;233.288.698.447
310;30/04/2018 3:00;235.772.921.109;235.861.884.368;235.719.636.169;233.288.698.447;233.595.505.618
311;30/04/2018 4:00;235.861.884.368;235.719.636.169;233.288.698.447;233.595.505.618;238.022.447.889
312;30/04/2018 5:00;235.719.636.169;233.288.698.447;233.595.505.618;238.022.447.889;238.056.745.182
313;30/04/2018 6:00;233.288.698.447;233.595.505.618;238.022.447.889;238.056.745.182;237.091.590.787
314;30/04/2018 7:00;233.595.505.618;238.022.447.889;238.056.745.182;237.091.590.787;236.748.663.102
315;30/04/2018 8:00;238.022.447.889;238.056.745.182;237.091.590.787;236.748.663.102;238.117.647.059
316;30/04/2018 9:00;238.056.745.182;237.091.590.787;236.748.663.102;238.117.647.059;235.521.111.705
317;30/04/2018 10:00;237.091.590.787;236.748.663.102;238.117.647.059;235.521.111.705;233.964.781.217
318;30/04/2018 11:00;236.748.663.102;238.117.647.059;235.521.111.705;233.964.781.217;23.472
319;30/04/2018 12:00;238.117.647.059;235.521.111.705;233.964.781.217;23.472;234.832
320;30/04/2018 13:00;235.521.111.705;233.964.781.217;23.472;234.832;235.170.575.693
321;30/04/2018 14:00;233.964.781.217;23.472;234.832;235.170.575.693;233.486.140.725
322;30/04/2018 15:00;23.472;234.832;235.170.575.693;233.486.140.725;233.925.333.333
323;30/04/2018 16:00;234.832;235.170.575.693;233.486.140.725;233.925.333.333;234.268.943.436
324;30/04/2018 17:00;235.170.575.693;233.486.140.725;233.925.333.333;234.268.943.436;235.623.667.377
325;30/04/2018 18:00;233.486.140.725;233.925.333.333;234.268.943.436;235.623.667.377;234.984.008.529
326;30/04/2018 19:00;233.925.333.333;234.268.943.436;235.623.667.377;234.984.008.529;237.085.775.173
327;30/04/2018 20:00;234.268.943.436;235.623.667.377;234.984.008.529;237.085.775.173;233.980.789.755
328;30/04/2018 21:00;235.623.667.377;234.984.008.529;237.085.775.173;233.980.789.755;236.533.333.333
329;30/04/2018 22:00;234.984.008.529;237.085.775.173;233.980.789.755;236.533.333.333;236.528
330;30/04/2018 23:00;237.085.775.173;233.980.789.755;236.533.333.333;236.528;238.332.445.392
331;01/05/2018 0:00;233.980.789.755;236.533.333.333;236.528;238.332.445.392;238.016.085.791
332;01/05/2018 1:00;236.533.333.333;236.528;238.332.445.392;238.016.085.791;239.747.583.244
333;01/05/2018 2:00;236.528;238.332.445.392;238.016.085.791;239.747.583.244;239.248.927.039
334;01/05/2018 3:00;238.332.445.392;238.016.085.791;239.747.583.244;239.248.927.039;238.053.619.303
335;01/05/2018 4:00;238.016.085.791;239.747.583.244;239.248.927.039;238.053.619.303;236.945.337.621
336;01/05/2018 5:00;239.747.583.244;239.248.927.039;238.053.619.303;236.945.337.621;238.144.772.118
337;01/05/2018 6:00;239.248.927.039;238.053.619.303;236.945.337.621;238.144.772.118;238.550.724.638
338;01/05/2018 7:00;238.053.619.303;236.945.337.621;238.144.772.118;238.550.724.638;239.301.825.994
339;01/05/2018 8:00;236.945.337.621;238.144.772.118;238.550.724.638;239.301.825.994;239.039.184.112
340;01/05/2018 9:00;238.144.772.118;238.550.724.638;239.301.825.994;239.039.184.112;23.650.751.073
341;01/05/2018 10:00;238.550.724.638;239.301.825.994;239.039.184.112;23.650.751.073;238.051.391.863
342;01/05/2018 11:00;239.301.825.994;239.039.184.112;23.650.751.073;238.051.391.863;235.529.411.765
343;01/05/2018 12:00;239.039.184.112;23.650.751.073;238.051.391.863;235.529.411.765;235.259.497.057
344;01/05/2018 13:00;23.650.751.073;238.051.391.863;235.529.411.765;235.259.497.057;236.059.797.117
345;01/05/2018 14:00;238.051.391.863;235.529.411.765;235.259.497.057;236.059.797.117;236.329.588.015
346;01/05/2018 15:00;235.529.411.765;235.259.497.057;236.059.797.117;236.329.588.015;239.501.874.665
347;01/05/2018 16:00;235.259.497.057;236.059.797.117;236.329.588.015;239.501.874.665;238.699.143.469
348;01/05/2018 17:00;236.059.797.117;236.329.588.015;239.501.874.665;238.699.143.469;239.326.563.335
349;01/05/2018 18:00;236.329.588.015;239.501.874.665;238.699.143.469;239.326.563.335;239.748.394.004
350;01/05/2018 19:00;239.501.874.665;238.699.143.469;239.326.563.335;239.748.394.004;239.983.948.636
351;01/05/2018 20:00;238.699.143.469;239.326.563.335;239.748.394.004;239.983.948.636;239.994.646.681
352;01/05/2018 21:00;239.326.563.335;239.748.394.004;239.983.948.636;239.994.646.681;239.732.477.261
353;01/05/2018 22:00;239.748.394.004;239.983.948.636;239.994.646.681;239.732.477.261;239.785.867.238
354;01/05/2018 23:00;239.983.948.636;239.994.646.681;239.732.477.261;239.785.867.238;24.0
355;02/05/2018 0:00;239.994.646.681;239.732.477.261;239.785.867.238;24.0;24.0
356;02/05/2018 1:00;239.732.477.261;239.785.867.238;24.0;24.0;239.892.646.269
357;02/05/2018 2:00;239.785.867.238;24.0;24.0;239.892.646.269;239.747.583.244
358;02/05/2018 3:00;24.0;24.0;239.892.646.269;239.747.583.244;239.000.537.346
359;02/05/2018 4:00;24.0;239.892.646.269;239.747.583.244;239.000.537.346;238.996.781.116
360;02/05/2018 5:00;239.892.646.269;239.747.583.244;239.000.537.346;238.996.781.116;24.0
361;02/05/2018 6:00;239.747.583.244;239.000.537.346;238.996.781.116;24.0;237.783.145.464
362;02/05/2018 7:00;239.000.537.346;238.996.781.116;24.0;237.783.145.464;239.978.517.723
363;02/05/2018 8:00;238.996.781.116;24.0;237.783.145.464;239.978.517.723;239.989.247.312
364;02/05/2018 9:00;24.0;237.783.145.464;239.978.517.723;239.989.247.312;23.977.443.609
365;02/05/2018 10:00;237.783.145.464;239.978.517.723;239.989.247.312;23.977.443.609;23.925.093.633
366;02/05/2018 11:00;239.978.517.723;239.989.247.312;23.977.443.609;23.925.093.633;237.398.286.938
367;02/05/2018 12:00;239.989.247.312;23.977.443.609;23.925.093.633;237.398.286.938;236.834.224.599
368;02/05/2018 13:00;23.977.443.609;23.925.093.633;237.398.286.938;236.834.224.599;236.700.589.181
369;02/05/2018 14:00;23.925.093.633;237.398.286.938;236.834.224.599;236.700.589.181;233.990.358.864
370;02/05/2018 15:00;237.398.286.938;236.834.224.599;236.700.589.181;233.990.358.864;236.607.811.664
371;02/05/2018 16:00;236.834.224.599;236.700.589.181;233.990.358.864;236.607.811.664;239.566.381.156
372;02/05/2018 17:00;236.700.589.181;233.990.358.864;236.607.811.664;239.566.381.156;238.897.216.274
373;02/05/2018 18:00;233.990.358.864;236.607.811.664;239.566.381.156;238.897.216.274;238.629.550.321
374;02/05/2018 19:00;236.607.811.664;239.566.381.156;238.897.216.274;238.629.550.321;239.443.254.818
375;02/05/2018 20:00;239.566.381.156;238.897.216.274;238.629.550.321;239.443.254.818;239.989.293.362
376;02/05/2018 21:00;238.897.216.274;238.629.550.321;239.443.254.818;239.989.293.362;238.794.858.061
377;02/05/2018 22:00;238.629.550.321;239.443.254.818;239.989.293.362;238.794.858.061;238.414.568.827
378;02/05/2018 23:00;239.443.254.818;239.989.293.362;238.794.858.061;238.414.568.827;238.184.252.812
379;03/05/2018 0:00;239.989.293.362;238.794.858.061;238.414.568.827;238.184.252.812;24.0
380;03/05/2018 1:00;238.794.858.061;238.414.568.827;238.184.252.812;24.0;23.895.810.956
381;03/05/2018 2:00;238.414.568.827;238.184.252.812;24.0;23.895.810.956;238.643.431.635
382;03/05/2018 3:00;238.184.252.812;24.0;23.895.810.956;238.643.431.635;23.932.867.884
383;03/05/2018 4:00;24.0;23.895.810.956;238.643.431.635;23.932.867.884;239.533.261.803
384;03/05/2018 5:00;23.895.810.956;238.643.431.635;23.932.867.884;239.533.261.803;24.0
385;03/05/2018 6:00;238.643.431.635;23.932.867.884;239.533.261.803;24.0;239.377.013.963
386;03/05/2018 7:00;23.932.867.884;239.533.261.803;24.0;239.377.013.963;238.453.276.047
387;03/05/2018 8:00;239.533.261.803;24.0;239.377.013.963;238.453.276.047;234.354.579.539
388;03/05/2018 9:00;24.0;239.377.013.963;238.453.276.047;234.354.579.539;24.0
389;03/05/2018 10:00;239.377.013.963;238.453.276.047;234.354.579.539;24.0;24.0
390;06/05/2018 19:00;238.453.276.047;234.354.579.539;24.0;24.0;243.727.941.176
391;06/05/2018 20:00;234.354.579.539;24.0;24.0;243.727.941.176;242.652.406.417
392;06/05/2018 21:00;24.0;24.0;243.727.941.176;242.652.406.417;244.570.208.222
393;06/05/2018 22:00;24.0;243.727.941.176;242.652.406.417;244.570.208.222;24.313.034.188
394;06/05/2018 23:00;243.727.941.176;242.652.406.417;244.570.208.222;24.313.034.188;244.396.367.521
395;07/05/2018 0:00;242.652.406.417;244.570.208.222;24.313.034.188;244.396.367.521;245.797.101.449
396;07/05/2018 1:00;244.570.208.222;24.313.034.188;244.396.367.521;245.797.101.449;242.863.270.777
397;07/05/2018 2:00;24.313.034.188;244.396.367.521;245.797.101.449;242.863.270.777;245.544.235.925
398;07/05/2018 3:00;244.396.367.521;245.797.101.449;242.863.270.777;245.544.235.925;241.412.459.721
399;07/05/2018 4:00;245.797.101.449;242.863.270.777;245.544.235.925;241.412.459.721;243.631.974.249
400;07/05/2018 5:00;242.863.270.777;245.544.235.925;241.412.459.721;243.631.974.249;246.925.549.009
401;07/05/2018 6:00;245.544.235.925;241.412.459.721;243.631.974.249;246.925.549.009;248.252.010.724
402;07/05/2018 7:00;241.412.459.721;243.631.974.249;246.925.549.009;248.252.010.724;249.148.366.363
403;07/05/2018 8:00;243.631.974.249;246.925.549.009;248.252.010.724;249.148.366.363;249.994.652.406
404;07/05/2018 9:00;246.925.549.009;248.252.010.724;249.148.366.363;249.994.652.406;249.110.873.058
405;07/05/2018 10:00;248.252.010.724;249.148.366.363;249.994.652.406;249.110.873.058;249.562.666.667
406;07/05/2018 11:00;249.148.366.363;249.994.652.406;249.110.873.058;249.562.666.667;248.798.718.633
407;07/05/2018 12:00;249.994.652.406;249.110.873.058;249.562.666.667;248.798.718.633;248.488.247.863
408;07/05/2018 13:00;249.110.873.058;249.562.666.667;248.798.718.633;248.488.247.863;243.388.562.266
409;07/05/2018 14:00;249.562.666.667;248.798.718.633;248.488.247.863;243.388.562.266;247.680.384.821
410;07/05/2018 15:00;248.798.718.633;248.488.247.863;243.388.562.266;247.680.384.821;248.794.023.479
411;07/05/2018 16:00;248.488.247.863;243.388.562.266;247.680.384.821;248.794.023.479;248.128
412;07/05/2018 17:00;243.388.562.266;247.680.384.821;248.794.023.479;248.128;248.055.555.556
413;07/05/2018 18:00;247.680.384.821;248.794.023.479;248.128;248.055.555.556;247.097.118.463
414;07/05/2018 19:00;248.794.023.479;248.128;248.055.555.556;247.097.118.463;249.338.313.767
415;07/05/2018 20:00;248.128;248.055.555.556;247.097.118.463;249.338.313.767;248.574.479.445
416;07/05/2018 21:00;248.055.555.556;247.097.118.463;249.338.313.767;248.574.479.445;247.394.554.191
417;07/05/2018 22:00;247.097.118.463;249.338.313.767;248.574.479.445;247.394.554.191;247.473.290.598
418;07/05/2018 23:00;249.338.313.767;248.574.479.445;247.394.554.191;247.473.290.598;244.861.111.111
419;08/05/2018 0:00;248.574.479.445;247.394.554.191;247.473.290.598;244.861.111.111;246.348.525.469
420;08/05/2018 1:00;247.394.554.191;247.473.290.598;244.861.111.111;246.348.525.469;249.341.541.756
421;08/05/2018 2:00;247.473.290.598;244.861.111.111;246.348.525.469;249.341.541.756;248.859.743.041
422;08/05/2018 3:00;244.861.111.111;246.348.525.469;249.341.541.756;248.859.743.041;249.957.150.509
423;08/05/2018 4:00;246.348.525.469;249.341.541.756;248.859.743.041;249.957.150.509;248.429.796.356
424;08/05/2018 5:00;249.341.541.756;248.859.743.041;249.957.150.509;248.429.796.356;248.960.899.839
425;08/05/2018 6:00;248.859.743.041;249.957.150.509;248.429.796.356;248.960.899.839;249.662.560.257
426;08/05/2018 7:00;249.957.150.509;248.429.796.356;248.960.899.839;249.662.560.257;249.004.282.655
427;08/05/2018 8:00;248.429.796.356;248.960.899.839;249.662.560.257;249.004.282.655;243.394.199.785
428;08/05/2018 9:00;248.960.899.839;249.662.560.257;249.004.282.655;243.394.199.785;244.643.431.635
429;08/05/2018 10:00;249.662.560.257;249.004.282.655;243.394.199.785;244.643.431.635;242.340.994.121
430;08/05/2018 11:00;249.004.282.655;243.394.199.785;244.643.431.635;242.340.994.121;245.982.905.983
431;08/05/2018 12:00;243.394.199.785;244.643.431.635;242.340.994.121;245.982.905.983;249.032.258.065
